train_size_pairs,eval_size_pairs,split_seed,f1,auroc,train_label_dist,eval_label_dist
500,2000,7,0.8782629909734081,0.9461147500000001,"{0: 167, 1: 167, 2: 166}","{0: 667, 1: 667, 2: 666}"
500,2000,11,0.879387048937222,0.946463875,"{0: 167, 1: 167, 2: 166}","{0: 667, 1: 667, 2: 666}"
500,2000,19,0.8779669144090146,0.9423862499999999,"{0: 167, 1: 167, 2: 166}","{0: 667, 1: 667, 2: 666}"
500,2000,23,0.8857843137254902,0.952880125,"{0: 167, 1: 167, 2: 166}","{0: 667, 1: 667, 2: 666}"
500,2000,42,0.8763351530975552,0.9432552500000001,"{0: 167, 1: 167, 2: 166}","{0: 667, 1: 667, 2: 666}"
1000,2000,7,0.9090471607314725,0.9599915,"{0: 334, 1: 333, 2: 333}","{0: 667, 1: 667, 2: 666}"
1000,2000,11,0.8919115861063881,0.953979625,"{0: 334, 1: 333, 2: 333}","{0: 667, 1: 667, 2: 666}"
1000,2000,19,0.8991185112634672,0.95789525,"{0: 334, 1: 333, 2: 333}","{0: 667, 1: 667, 2: 666}"
1000,2000,23,0.8978898860053359,0.95852625,"{0: 334, 1: 333, 2: 333}","{0: 667, 1: 667, 2: 666}"
1000,2000,42,0.8979300499643112,0.95406,"{0: 333, 1: 334, 2: 333}","{0: 667, 1: 667, 2: 666}"
2000,2000,7,0.9089598846985347,0.964849,"{0: 667, 1: 667, 2: 666}","{0: 667, 1: 667, 2: 666}"
2000,2000,11,0.910502061605627,0.966721375,"{0: 667, 1: 667, 2: 666}","{0: 667, 1: 667, 2: 666}"
2000,2000,19,0.9108815757866923,0.9646635,"{0: 667, 1: 667, 2: 666}","{0: 667, 1: 667, 2: 666}"
2000,2000,23,0.9180091368117336,0.967358875,"{0: 667, 1: 667, 2: 666}","{0: 667, 1: 667, 2: 666}"
2000,2000,42,0.9097455592894863,0.9644422500000002,"{0: 667, 1: 667, 2: 666}","{0: 667, 1: 667, 2: 666}"
4000,2000,7,0.9246231155778895,0.9708050000000001,"{0: 1334, 1: 1333, 2: 1333}","{0: 667, 1: 667, 2: 666}"
4000,2000,11,0.9298160696999032,0.9758463749999999,"{0: 1334, 1: 1333, 2: 1333}","{0: 667, 1: 667, 2: 666}"
4000,2000,19,0.9239234449760766,0.9732845,"{0: 1334, 1: 1333, 2: 1333}","{0: 667, 1: 667, 2: 666}"
4000,2000,23,0.921191734742912,0.9685,"{0: 1334, 1: 1333, 2: 1333}","{0: 667, 1: 667, 2: 666}"
4000,2000,42,0.9175059952038369,0.97051025,"{0: 1333, 1: 1334, 2: 1333}","{0: 667, 1: 667, 2: 666}"
8000,2000,7,0.9255880940950552,0.9738102500000001,"{0: 2667, 1: 2667, 2: 2666}","{0: 667, 1: 667, 2: 666}"
8000,2000,11,0.9335274138767589,0.9783769999999999,"{0: 2667, 1: 2667, 2: 2666}","{0: 667, 1: 667, 2: 666}"
8000,2000,19,0.9316590195604927,0.9755801249999999,"{0: 2667, 1: 2667, 2: 2666}","{0: 667, 1: 667, 2: 666}"
8000,2000,23,0.9287257019438445,0.9752584999999999,"{0: 2667, 1: 2667, 2: 2666}","{0: 667, 1: 667, 2: 666}"
8000,2000,42,0.9293174641729415,0.978622,"{0: 2667, 1: 2667, 2: 2666}","{0: 667, 1: 667, 2: 666}"
